cod_IBGE;cidade;UF;latitude;longitude;venda_predita;vendas;pib_percapita;predominancia_pop_rural;populacao;IDHM
310750;BOM JARDIM DE MINAS;MG;-21,9479;-44,1885;1345,0;5,0;21623,939999999984;0,0;6443,999999999998;0,673
310760;BOM JESUS DA PENHA;MG;-21,0148;-46,5174;1570,0;5,0;43640,17999999997;0,0;4270,0;0,7350000000000001
310770;BOM JESUS DO AMPARO;MG;-19,7054;-43,4782;1312,0;5,0;27220,469999999998;1,0;6181,999999999996;0,683
310780;BOM JESUS DO GALHO;MG;-19,836;-42,3165;1286,0;5,999999999999999;12689,830000000007;0,0;14791,999999999996;0,623
310790;BOM REPOUSO;MG;-22,4675;-46,144;1547,0;5,999999999999999;15951,060000000005;0,0;10526,999999999995;0,653
310820;BONFINÓPOLIS DE MINAS;MG;-16,568;-45,9839;1319,0;5,0;59130,99000000004;0,0;5397,000000000001;0,6779999999999999
310825;BONITO DE MINAS;MG;-15,3231;-44,7543;54656,0;157,00000000000003;9316,840000000004;1,0;11501,999999999996;0,5369999999999999
310830;BORDA DA MATA;MG;-22,2707;-46,1653;1296,0;3,0;20264,259999999995;0,0;19808,999999999993;0,73
310840;BOTELHOS;MG;-21,6412;-46,391;1937,0;5,999999999999999;21278,169999999984;0,0;14927,000000000007;0,702
310850;BOTUMIRIM;MG;-16,8657;-43,0086;4358,0;16,0;11222,900000000009;0,0;6259,0;0,6019999999999999
310855;BRASILÂNDIA DE MINAS;MG;-16,9999;-46,0081;1071,0;3,999999999999999;26839,789999999997;0,0;16950,00000000001;0,6740000000000002
310860;BRASÍLIA DE MINAS;MG;-16,2104;-44,4299;1357,0;6,999999999999998;12841,550000000007;0,0;32460,000000000025;0,6559999999999999
310870;BRÁS PIRES;MG;-20,8419;-43,2406;50442,0;143,0;12158,299999999997;1,0;4255,000000000002;0,625
310880;BRAÚNAS;MG;-19,0562;-42,7099;1276,0;5,999999999999999;49618,68000000004;1,0;4737,000000000001;0,6239999999999999
310900;BRUMADINHO;MG;-20,151;-44,2007;5074,0;17,999999999999996;66441,29999999996;0,0;41207,999999999985;0,7470000000000001
310910;BUENO BRANDÃO;MG;-22,4383;-46,3491;4864,0;14,999999999999998;19296,87999999999;0,0;10982,00000000001;0,6580000000000001
310920;BUENÓPOLIS;MG;-17,8744;-44,1775;4949,0;17,999999999999996;14861,329999999996;0,0;10342,000000000004;0,669
310925;BUGRE;MG;-19,4231;-42,2552;101210,0;155,99999999999994;12309,039999999999;1,0;3983,9999999999977;0,627
310940;BURITIZEIRO;MG;-17,3656;-44,9606;3546,0;10,000000000000002;24484,920000000006;0,0;28183,999999999975;0,6239999999999999
310945;CABECEIRA GRANDE;MG;-16,0335;-47,0862;1158,0;5,0;64769,53000000006;0,0;7025,000000000002;0,6479999999999999
310950;CABO VERDE;MG;-21,4699;-46,3919;5235,0;14,999999999999998;21241,470000000016;0,0;14074,000000000007;0,6740000000000002
310960;CACHOEIRA DA PRATA;MG;-19,521;-44,4544;181991,0;737,0;15916,249999999989;0,0;3580,0000000000014;0,7409999999999999
310970;CACHOEIRA DE MINAS;MG;-22,3511;-45,7809;4975,0;14,999999999999998;39217,25000000004;0,0;11609,000000000007;0,706
310980;CACHOEIRA DOURADA;MG;-18,5161;-49,5039;1182,0;3,0;44469,650000000016;0,0;7997,0;0,726
310990;CAETANÓPOLIS;MG;-19,2971;-44,4189;2118,0;9,000000000000002;26656,460000000006;0,0;11869,000000000004;0,706
311000;CAETÉ;MG;-19,8826;-43,6704;3277,0;10,000000000000002;23558,49;0,0;45363,99999999999;0,728
311010;CAIANA;MG;-20,6956;-41,9292;1572,0;5,999999999999999;23793,550000000003;0,0;5583,999999999997;0,633
311020;CAJURI;MG;-20,7903;-42,7925;1130,0;5,0;27383,429999999997;0,0;3961,0000000000014;0,617
311030;CALDAS;MG;-21,9183;-46,3843;1133,0;3,999999999999999;21456,139999999985;0,0;14600,0;0,687
311040;CAMACHO;MG;-20,6294;-45,1593;1794,0;6,999999999999998;19694,699999999993;1,0;2839,0000000000014;0,69
311050;CAMANDUCAIA;MG;-22,7515;-46,1494;3627,0;12,999999999999996;40043,55999999997;0,0;21831,00000000001;0,6890000000000001
311060;CAMBUÍ;MG;-22,6115;-46,0572;5132,0;17,999999999999996;71095,95999999998;0,0;30067,99999999999;0,7510000000000001
311070;CAMBUQUIRA;MG;-21,854;-45,2896;1949,0;9,000000000000002;29549,609999999993;0,0;12810,000000000004;0,6990000000000001
311080;CAMPANÁRIO;MG;-18,2427;-41,7355;23016,0;58,999999999999986;15206,89000000001;0,0;3739,000000000002;0,6159999999999999
311090;CAMPANHA;MG;-21,836;-45,4004;1177,0;3,999999999999999;26283,069999999978;0,0;16855,0;0,7089999999999999
311110;CAMPINA VERDE;MG;-19,5382;-49,4862;5294,0;14,999999999999998;27367,029999999977;0,0;19759,000000000015;0,704
311115;CAMPO AZUL;MG;-16,5028;-44,8096;66176,0;107,99999999999997;11790,0;1,0;3830,0000000000014;0,621
311120;CAMPO BELO;MG;-20,8932;-45,2699;4940,0;14,999999999999998;24032,17999999999;0,0;54338,000000000015;0,7110000000000001
311130;CAMPO DO MEIO;MG;-21,1127;-45,8273;3270,0;11,0;18281,600000000013;0,0;11647,999999999993;0,683
311140;CAMPO FLORIDO;MG;-19,7631;-48,5716;1340,0;3,999999999999999;92060,26999999999;0,0;8383,000000000002;0,706
311150;CAMPOS ALTOS;MG;-19,6914;-46,1725;1134,0;3,999999999999999;27799,41999999998;0,0;15660,999999999989;0,702
311160;CAMPOS GERAIS;MG;-21,237;-45,7569;6852,0;22,0;25631,91999999998;0,0;28907,999999999985;0,6820000000000002
311170;CANAÃ;MG;-20,6869;-42,6167;1512,0;6,999999999999998;18257,83000000001;1,0;4533,000000000001;0,649
311190;CANA VERDE;MG;-21,0232;-45,1801;32785,0;76,00000000000001;14696,979999999992;0,0;5584,999999999998;0,6500000000000001
311205;CANTAGALO;MG;-18,5248;-42,6223;28563,0;78,99999999999997;12927,359999999995;0,0;4575,000000000001;0,631
311210;CAPARAÓ;MG;-20,5289;-41,9061;1780,0;9,000000000000002;19331,07;1,0;5464,000000000003;0,6239999999999999
311220;CAPELA NOVA;MG;-20,9179;-43,622;44553,0;118,99999999999997;14221,509999999995;1,0;4616,000000000002;0,6479999999999999
311230;CAPELINHA;MG;-17,6888;-42,5147;4801,0;18,999999999999996;22513,609999999986;0,0;38320,999999999985;0,653
311240;CAPETINGA;MG;-20,6163;-47,0571;1232,0;3,999999999999999;27413,369999999988;0,0;6860,0000000000055;0,675
311250;CAPIM BRANCO;MG;-19,5471;-44,1304;271534,0;528,0;11531,230000000001;0,0;9895,999999999998;0,6950000000000001
311260;CAPINÓPOLIS;MG;-18,6862;-49,5706;1798,0;5,999999999999999;36803,34999999999;0,0;16294,000000000013;0,7230000000000001
311265;CAPITÃO ANDRADE;MG;-19,0748;-41,8614;31274,0;69,00000000000003;11723,08;0,0;5558,999999999995;0,6239999999999999
311270;CAPITÃO ENÉAS;MG;-16,3265;-43,7084;1128,0;3,999999999999999;27437,13000000002;0,0;15388,00000000001;0,639
311280;CAPITÓLIO;MG;-20,6164;-46,0493;2188,0;8,000000000000002;38476,50000000001;0,0;8693,000000000002;0,71
311290;CAPUTIRA;MG;-20,1703;-42,2683;33650,0;78,99999999999997;13459,650000000003;1,0;9317,999999999996;0,615
311300;CARAÍ;MG;-17,1862;-41,7004;83486,0;266,99999999999994;9489,159999999994;1,0;23872,00000000001;0,558
311310;CARANAÍBA;MG;-20,8707;-43,7417;108067,0;151,99999999999997;13528,889999999992;1,0;3149,9999999999977;0,6339999999999999
311320;CARANDAÍ;MG;-20,9566;-43,811;12850,0;51,00000000000001;31176,179999999986;0,0;25830,999999999993;0,6970000000000001
311330;CARANGOLA;MG;-20,7343;-42,0313;2047,0;6,999999999999998;20818,559999999998;0,0;33022,0;0,6950000000000001
311340;CARATINGA;MG;-19,7868;-42,1292;3797,0;14,0;25333,99000000001;0,0;93123,99999999997;0,706
311350;CARBONITA;MG;-17,5255;-43,0137;4809,0;18,999999999999996;23823,469999999987;0,0;9422,999999999993;0,6379999999999999
311360;CAREAÇU;MG;-22,0424;-45,696;1835,0;5,999999999999999;25589,589999999982;0,0;6825,999999999998;0,683
311370;CARLOS CHAGAS;MG;-17,6973;-40,7723;1397,0;5,0;29498,930000000008;0,0;18516,000000000015;0,6479999999999999
311380;CARMÉSIA;MG;-19,0877;-43,1382;4759,0;20,0;15285,799999999988;0,0;2660,0;0,6500000000000001
311390;CARMO DA CACHOEIRA;MG;-21,4633;-45,2201;7444,0;23,000000000000004;23756,44000000001;0,0;12193,000000000004;0,655
311400;CARMO DA MATA;MG;-20,5575;-44,8735;8822,0;26,999999999999996;19218,949999999997;0,0;11546,000000000007;0,6890000000000001
311410;CARMO DE MINAS;MG;-22,1204;-45,1307;96604,0;128,99999999999997;16995,81999999999;0,0;15031,000000000011;0,6820000000000002
311420;CARMO DO CAJURU;MG;-20,1912;-44,7664;1320,0;3,999999999999999;26553,21999999999;0,0;22900,0;0,71
311430;CARMO DO PARANAÍBA;MG;-18,991;-46,3167;10833,0;26,0;32915,77000000001;0,0;30338,999999999996;0,7049999999999998
311440;CARMO DO RIO CLARO;MG;-20,9736;-46,1149;3638,0;12,999999999999996;31869,219999999987;0,0;21310,000000000007;0,7329999999999999
311450;CARMÓPOLIS DE MINAS;MG;-20,5396;-44,6336;2063,0;8,000000000000002;24296,79000000002;0,0;19756,000000000007;0,7
311455;CARNEIRINHO;MG;-19,6987;-50,6894;10895,0;25,000000000000004;43265,86000000002;0,0;10102,999999999995;0,7409999999999999
311460;CARRANCAS;MG;-21,4898;-44,6446;1379,0;5,0;32264,75;0,0;4051,9999999999986;0,7249999999999999
311470;CARVALHÓPOLIS;MG;-21,7735;-45,8421;1482,0;5,0;19044,440000000006;0,0;3614,000000000001;0,724
311480;CARVALHOS;MG;-22,0;-44,4632;1269,0;6,999999999999998;18257,209999999985;0,0;4445,0;0,6459999999999999
311490;CASA GRANDE;MG;-20,7925;-43,9343;1681,0;5,999999999999999;28627,620000000024;0,0;2251,000000000001;0,6519999999999999
311500;CASCALHO RICO;MG;-18,5772;-47,8716;1786,0;5,0;25622,089999999986;0,0;3107,9999999999995;0,7209999999999999
311510;CÁSSIA;MG;-20,5831;-46,9201;1761,0;5,0;25388,029999999984;0,0;17740,999999999996;0,704
311520;CONCEIÇÃO DA BARRA DE MINAS;MG;-21,1316;-44,4729;1756,0;9,000000000000002;17545,109999999997;0,0;3939,0000000000014;0,685
311530;CATAGUASES;MG;-21,3924;-42,6896;4928,0;14,999999999999998;23837,900000000012;0,0;75941,99999999996;0,7510000000000001
